"","tweet","label"
"1085","I liked a @YouTube video WARNING: you may get HEART ATTACK from LAUGHTER - Best FUNNY FAIL and ANIMAL VIDEOS",0
"1086","Cause lord knows I was boutta have a heart attack",3
"1090","Ever wanna know what a heart attack feels like? Clutch 1v5 after slamming energy drinks in @Rainbow6Game",0
"1092","My granny just now noticing I had a tattoo and almost had a heart attack 😭🙄",0
"1093","@SydneyItalia I am hearing it was a heart attack",0
"1094","I saw some white chocolate MandMs in the store and had a mini heart attack 😍",0
"1096","LRT that poor guy. I would have had a heart attack by now",0
"1101","we were mischievous and you were always wearing black I was so serious you know my boyfriend's mother nearly had a heart attack",0
"1102","When your dumbass thought Justin and John were in boston so you had a mini heart attack today i learned u realize Boston Market is a fast food joint😂😂😭",0
"1103","@Ms_HeartAttack just a little something to make you feel better💕",0
"1104","I had a mini heart attack I thought I tweeted on the wrong account kskdfkkddmd",0
"1105","I literally have a heart attack when my sister drives",0
"1106","When fakes harry styles accounts try to follow you and get you a heart attack but the real harry already follows you.",0
"1108","Woodlands drivers give me a damn heart attack.",0
"1109","Killgore asked what I was doing for my birthday tomorrow and I said getting my belly button pierced and I thought she had a heart attack 😂",0
"1111","pretty sure I am about to have a heart attack",0
"1113","THANK YOU FOR GIVING ME A HEART ATTACK #MercyAcousticVideo @ShawnMendes",0
"1115","Metroid Samus Returns is out next week I am having a heart attack.",0
"1116","AHL player recovering from on-ice heart attack -",2
"1117","i said alex jones should have his overdue heart attack already and twitter said :",0
"1118","I am doing a new thing everyday I do not have a heart attack I am gonna count it/ today is day 1",0
"1119","Scientists say eating red meat DOESN’T increase your risk of heart attack",1
"1120","Y'all I almost had a heart attack. She is watching a make up tutorial!!!",0
"1121","Stressing gonna fuck around and give me a heart attack",3
"1122","what the fuck I almost had a heart attack watching this",0
"1124","@ShawnMendesNot just got a heart attack thank you",0
"1125","Paramedic who stood by as man died of heart attack at Walsall Manor Hospital faces new job threat",2
"1127","Literally almost had a heart attack today because I lost my promise ring for about an hour",0
"1128","#didyouknow we can test bacteria levels in your saliva and see if you are at risk of a HEART ATTACK!...",1
"1130","こんな夜中に見返したら面白すぎてw 업텐션(UP10TION) Fan Heart Attack Idol TV",0
"1131","My alarm just gave me a heart attack",0
"1132","I would have made her old ass have a heart attack",0
"1133","@ErinB_DBD @merrinish ah yes, the terminal A to excuse me dash. I am destined to have a heart attack somewhere around C terminal.",0
"1134","#Policy4Health In a first, anti-inflammatory drug lowers heart attack risks",1
"1137","HIV May Double Odds of Heart Attack - WebMD: HIV May Double Odds of Heart… #STD #HIV #AIDS",1
"1138","35 year young men died in bank queue, due to heart attack Anupshahr, because he was sick and recent lost his job.",2
"1142","@MMFlint Everyone to blame except your sorry-ass candidate. Get over this, before you have that inevitable heart attack.",0
"1143","High pain tolerance may mask heart attack symptoms",1
"1144","god now i can finally see what yuri meant by ""let us end this"" im gonna have a heart attack",0
"1146","I had a little heart attack, I am laughing 😂😂",0
"1147","@AmazingPhil oh my god I bet you had a mini heart attack..",0
"1148","Ran off the road on my way to work , and probably has a mini heart attack",0
"1150","i miss when mcdonalds sold that heart attack in a box for only $10.. that shit had so much food 😂",0
"1151","@Ms_HeartAttack This is me when I play Destiny with my friends.",0
"1152","Matt damon yeni filmi geliyor ay mini heart attack ben! Platonik aşk yaşıyor olabilirim adama sanırım daha önce de belirttim.",0
"1153","it is like his ass woke up one day and was like hey thats angelicas favorite hair color on me i hope she has a heart attack when she sees",0
"1155","Sanson says his Universo 2000 is doing fine now after his heart attack. Doctors advised him to drop 25 kgs in weight to benefit his health.",2
"1156","@ShawnMendesNot @ShawnMendes what...a...heart...attack😨💓 If now the real Shawn follow me, I think I die if I have now the heart attack haha😅",0
"1158","I wanna watch the Yuri on Ice finale, but I also wanna wait until Isa has watched it and she can spoiler me, so I do not have a heart attack.",0
"1159","one day I will actually have a heart attack and sue you BigHit",0
"1160","white monster mixed with a scoop and a half of mr hyde. If I have a heart attack someone tell my parents that I at least got a good ass pump",0
"1162","I j had a heart attack watching the trailer so no thanks",0
"1163","HIV May Double Odds of Heart Attack",1
"1164","Slideshow: A Visual Guide to a Heart Attack",1
"1165","Call an ambulance because I had a mini heart attack at the ""kissing-WOOPS!-it is-actually-a-hug"" thing",0
"1166","im going to have a heart attack @girlalmighty FLEETWOOD MAC",0
"1169","@PaveDarker @Hoodwink71 I dont deny his right to speak whatever langauage he wants, Doesent mean give people a heart attack on a plane. Sad!",0
"1170","MY CHRISTMAS PRESENT FOR MY DAD CAME IN ITS OWN PACKAGE NOT IN A PLAIN BROWN AMAZON BOX AND I HAD A HEART ATTACK BECAUSE WHAT IF HE SAW",0
"1171","@stefan @RockstarGames laughing my ass off, I gotta say I got a mini heart attack, played on this account since release laughing",0
"1172","@janephilpott VERY interesting. Depression usually follows a heart attack. ""Talk therapy"" sounds like an effective possibility 4 dealing w/.",1
"1173","911 THIS IS AN EMERGENVY IM HAVING A HEART ATTACK AND ITS ALL YURI ON ICE'S FAULT",0
"1174","Craig Cunningham's recovery after a November 19th on-ice heart attack has been dubbed a 'Christmas miracle'.",2
"1175","@troubleontherun I think I had a heart attack just looking at that. And also saw my laundry bill go up. I would have that all over me.",0
"1177","I read that as Katie then and nearly had a heart attack, there is no vacancies in my womb nOPE",0
"1178","HIV patients have nearly twice the heart attack risk - Northwestern Now",1
"1181","would have a heart attack...once you get the kids..you would have them for life...",0
"1182","RT @Quotes Half of Americans will have a heart attack. ➡ #health",1
"1183","@dick_nixon I read somewhere that, actuarially speaking, Trump was 7x as likely to have a heart attack as Hillary over the next 4 years.",2
"1186","For those who do not know my mother was in the Hospital for a Heart Attack she had Monday. She is home. .3.",2
"1189","@tarjeiscodes I just had a heart attack",3
"1190","@Ms_HeartAttack laughing out loud you wake up look at the time and the 1st thing you say is""da fuck"" 😂",0
"1192","Glad to hear that Whatsapp are trialing an Unsend button. I will finally be able to unsend the sext that caused my not a number's heart attack in 2011",0
"1193","@Travisj760 a heart attack that ends in death? A girl can dream",2
"1194","@Discovery films a dude having a heart attack. Smh 🤦🏾‍♂️",2
"1195","HOLY FUCK GABRIELLE IS THAT YOU?! @TheGabbieShow LEGIT ONE VERSE IN AND ALREADY HAD A HEART ATTACK #OutLoud",0
"1196","I am the confetti stopping him from giving me another heart attack",0
"1197","@wmata Tell your train operators to learn how to operate trains first.and stop doing stop and go driving, giving all passengers heart attack",0
"1198","I know service vehicles gotta be somewhere but honking at me literally gives me a heart attack",0
"1200","HIV May Double Odds of Heart Attack: “When people have higher risks of heart attack or…",1
"1202","I just got an email from one of the universities I applied to saying they got my application and I nearly had a heart attack",0
"1203","#Nauru refugee says medical treatment withheld after he had heart attack via @guardian #auspol #medicalneglect",2
"1204","I just had a moment where I completely forgot my age. That was a mini existential heart attack alright. I am not even old.",0
"1205","MINE ÄRA PSMDOSLSKOSOS I GOT A HEART ATTACK",0
"1207","That dude is gonna have a heart attack when you all... — Alright",0
"1208","@anactualmess @helioboros let us get in here and NOT give my crunchyroll account a heart attack",0
"1209","When Vividha got some serious issue to discuss with Atharv. 🙄😭 When she almost gave him a heart attack. 😱#ViTharv #JNDSD",0
"1210","James Fixx the man who popularized jogging in America died of a heart attack while running. R.I.P #fact",2
"1212","@fairlyliterary @TitoTitoq85 I need your twitter handle not to give me a minor heart attack, Rabia! Almost thought I saw hung like a boss 😱",0
"1213","So happy that I get to learn all about hearts so that I know when I am actually having a heart attack this year",0
"1214","@tinygifs His smile would be the reason If I got a heart attack some day ❤😍 Gawd he is so beautiful 😍❤😍❤😍❤😍❤",0
"1217","Thanks recruiter person, almost had a heart attack thinking that all my react native work that’s in private repos went public...",0
"1218","I could probably be in the middle of a heart attack and not feel a",0
"1219","High Pain Tolerance Tied to 'Silent' Heart Attack Risk.",1
"1220","first i thought that is an one direction pic and i had a little heart attack.",0
"1221","@Ms_HeartAttack if it makes you feel better yesterday I woke up at 9am and stayed in bed watching the office until like 3pm laughing out loud",0
"1223","@assahton5sos U FUCKING SCARED ME HDJSJSBDKAO I LITERALLY HAD A HEART ATTACK AND NOW IM CRYING CAUSE HE DIDNT FOLLOW ME",0
"1227","oh just go away and have your heart attack already, you fat fuck. @RealAlexJones #MAGA",0
"1228","Only just watched Annabelle Creation, my god almost had a heart attack",0
"1229","Just not feeling Christmas this year. Still have post heart attack depression, which is normal.",3
"1230","HIV patients have nearly twice the heart attack risk #science #health",1
"1231","A linesman's whistle induced heart attack and some nice videos feature in @FourFourCou's match review",0
"1232","Marriage a Blessing for Heart Attack Patients | TUESDAY, Aug. 29, 2017 (HealthDay News) - Marriage is ... |",1
"1233","What is happening this is the 3rd friend in 3 weeks that has either Had a heart attack,seizure or died. These...",2
"1235","@ArianaGrande I am gonna have a heart attack. I love u",0
"1236","I was not ready for this. Guys, please be careful when watching, you may have a heart attack, but it will be okay, you can get through it",0
"1237","#OTD in 1940, F. Scott Fitzgerald died of a heart attack in Hollywood California. He was just 44 years old. #author #writing",2
"1238","HIV May Double Odds of Heart Attack cc:doctormujumdar.in",1
"1239","The beginning of this song never fails to give me a freaking heart attack",0
"1240","that time you put a washcloth over your shoulder for a moment, and the heartattack two hours later because some wet thing was on you",0
"1241","Scientists Confirmed: This Is The World’s #1 Food For Hypertension, Heart Attack, Stroke and Cholesterol!",1
"1242","oh my god right when I was saving the video my mom (on FaceTime) goes ""what did you just send me?!"" I almost had a heart attack but I am gucci",0
"1243","HIV May Double Odds of Heart Attack: HIV May Double Odds of Heart Attack",1
"1244","Thank God my fair city is a long way from Princeton, I would have a heart attack;)",0
"1247","There were not any ambulances available, and a 71-year-old woman died of a heart attack at home. Read this.",2
"1248","Erlanger Fire/EMS units are currently responding to a Heart Attack call.",1
"1249","oh my god it is coming soon 60 minutes only 😭😂😂 #MercyAcousticVideo HEART ATTACK @ShawnMendes #shawnmendes",0
"1250","I feel like having a heart attack from them 😭😭😭😭😭😭",0
"1251","my grandma would have a heart attack if I did this 😂",0
"1252","So my heart has been feeling weird for some time now. Maybe a heart attack soon? I will not hold my breath but I would welcome it.",3
"1253","@Arisnaagrsnde thanks for giving me a heart attack laughing my ass off",0
"1256","@daze3x they skipped the performance is Sound! Euphonium, and im still about to get a heart attack",0
"1257","Mini heart attack averted... Sheesh! Is this what adulthood is all about? Meow!",0
"1258","@AyeshaPilcher i always get an heart attack tho",0
"1260","@ArianaGrande I seriously might have a heart attack when I see you on tour",0
"1261","Genuinely gonna have a heart attack if i even look at another can of red bull or the likes",0
"1262","Demi Lovato - Heart Attack - Body Say - Skyscraper - Wildfire - Confident",0
"1263","“@TheSun: eating red meat DOESN’T increase risk heart attack ” Sponsored by the @beef board",1
"1265","My neighbour went and bought this big dogs that their bark can give you heart attack. I am coming home late from...",0
"1266","not gonna lie, i had a mini heart attack when i saw this pop up",0
"1267","In light of recent research showing reduced heart attack risk, are their dangers of reducing inflammation too much?",1
"1268","Acid reflux can make you feel like you are having a heart attack.",1
"1269","@NoceurTitanium ""Okay, I thought more along the lines of heart attack or something.""",0
"1271","Seeing her in this in person was kinda like having a heart attack and drowning at the same time. I died",0
"1272","I had four cups of coffee today and it now feels like I am having a heart attack haha cool",0
"1273","@djmotwister @stationguy899 Relax, you will get a heart attack and your fake kid will go back to his real dad",0
"1274","Got news that my grandma has had a heart attack and is in the hospital, she is not doing well.",2
"1275","@Ms_HeartAttack missed it😭 about to tho👏",0
"1277","me: (sneezes) mom: jesus are u trying to give me a heart attack",0
"1279","“The worst time to have a heart attack is during a game of charades” – Demetri Martin",0
"1282","I just had a heart attack putangina!!! 😭😭😭",3
"1283","Study shows unchecked inflammation within the heart’s arteries may cause repeat heart attack. #heart #disease",1
"1284","The people call Shoygu ""From Boris Nikolaevich to Vladimir Vladimirovich without a heart attack and paralysis!""",0
"1285","A grasshopper landed on my knee and I almost had a heart attack",0
"1288","Okay, now that that is settled, I almost had a heart attack my laptop was not working when it was just the screen was off.",0
"1290","I think I might have to delete Christian and Justin Combs off snapchat before I have a heart attack",0
"1292","@Toast_Queen @Liberal_Lunacy ask a doc. about that, or the bodypositive model that died of a heart attack caused by lipomes around her heart",2
"1293","I am about to have a heart attack and i haven't even watched the video yet",0
"1294","I had a mini heart attack this morning when I checked my phone and saw that is was 10:30 a.m and thought I was late to work.",0
"1295","I need to quit fucking with my dog so much, I am gonna end up giving him a heart attack",0
"1296","I am about to have a heart attack just watching this frfr",0
"1297","If you have a moment, please say a 🙏 for my mom. it is been a long road with her Leukemia diagnosis and now a heart attack. Thank you💜",2
"1299","@Ms_HeartAttack Ugh I know. I have been in bed by midnight and up about 8am lately.",0
"1300","Mom just told me about a friend's son who had a heart attack and died; he was 48. Seems like its happening to people earlier. What the world.",2
"1301","Thank God for golf shoes. A snake bit my shoe as I was playing today. Thankfully it was nothing major😂 It just gave me a mini heart attack🙈",0
"1302","oh my god i read this as eat my ass i almost had a heart attack 😂😂",0
"1304","the question is do u hear me sobbing crying having a heart attack",0
"1305","The doctor just told me I am increasing my chances of a stroke or heart attack 🙄",3
"1307","thank god i found it.. nearly had a heart attack when the magic extension wasnt working",0
"1308","@redalertbd MY CAT #JAYDEN DIED AT MASSIVE HEART ATTACK. IT WAS A SUDDEN DEATH.HE WAS RUNNING IN THE EVENING;AT 8 PM HE IS NO MORE. #SAD",2
"1309","This is fucking perfect. Like literally I just had a lil heart attack I think I am inlove. Seriously.",0
"1310","Diabetes, Osteoporosis, Heart Attack, Stroke or 7minutes of exercise 3 times per week? The choice is easy",1
"1311","Current methods to predict the risk of heart attack and stroke vastly underestimate the risk in individuals with H…",1
"1313","AIDS : HIV May Double Odds of Heart Attack",1
"1314","@PAOnTheMic I worry he is going to have a heart attack on the sideline😳",0
"1315","Had a heart attack thinking @fabuloushannahh and @tomasjohnson had broken up, my heart dropped into my knees😭😂",0
"1316","@eema_f @Ms_HeartAttack your welcome!! I have a cartoony style. Could never grasp portraits so I respect anyone who can.",0
"1317","My son just tried to open my closet door to get a laundry basket and I almost had a heart attack. My closet = santa's workshop laughing my ass off",0
"1318","@ShawnMendesNot Thank you for the heart attack haha😅 you did it 👏🏼👏🏼😅❤",0
"1319","literally thought my mum was gonna have a heart attack teaching me how to drive today. 😂😂🚗",0
"1320","Every time I get a youtube notification gives me a mini heart attack. @issa",0
"1322","Think a heart attack will not happen to you? This study says you might be wrong via @ABCNews",1
"1323","I think I am having a heart attack My chest hurts",3
"1324","oh my god just about had a heart attack laying in bed my internet stopped when listening to #WSY was about asleep and all of sudden it is playing👻👻",0
"1325","@BiggBossNewz you can be sent to Jail for showing scary pics for this ugly women. Many people have died of heart attack 😂 #BB10 #Biggboss10",0
"1326","PT HAD A HEART ATTACK DAY 2: via @YouTube",0
"1327","Feck, I thought I was going to have a heart attack while watching it. Still shaking. The ending scene was just the sweetest thing ever.",0
"1328","right. Heart attack victims fixate on 911 calls to avoid chest pain",1
"1330","@_slimIN laughing out loud almost had a heart attack huh",0
"1331","HIV patients have nearly twice the heart attack risk Current methods to predict the",1
"1334","As if this was ever in doubt. Tommy will probably die courtside one day after having a heart attack screaming at an official.",0
"1335","@Ms_HeartAttack I woke up at 3pm so it could be worse",0
"1336","me: THE CROWN is kinda boring, nothing happens... also me: *suffers heart attack from elizabeth and philip fighting over coronation ceremony*",0
"1338","i almost has a heart attack thinking about what my life will be like in 6 months",0
"1339","#OneTimeMyTeacher had a heart attack in class. She said she was stressed out bc we were bad kids...but she recovered and now we talk on FB!",2
"1340","I SAW SO MANY OF THE @NHLBlackhawks TODAY AT NAVY PIER TODAY AND I THOUGHT I WAS GOING TO HAVE A HEART ATTACK",0
"1341","@Ms_HeartAttack how does your puppy let you sleep so long mine wakes me up by 8:30 every day frown",0
"1346","@ShawnMendesNot you literally just gave me a bad heart attack",0
"1348","@Ms_HeartAttack I been trying to fix my sleeping schedule but when I do I fuck it up laughing out loud",0
"1350","Doctors Have (Finally!) Been Able to Save More Women from Heart Attacks—Here’s Why",1
"1351","@NBCThisisUs but what does okay mean? Might live but there is a lot to consider about his life after a heart attack",2
"1352","HIV patients have nearly twice the heart attack risk Science daily News",1
"1353","That mini heart attack when you thought you actually posted a private message 😅😰",0
"1354","#MercyAcousticVideo One hour for the next heart attack @ShawnMendes",0
"1355","The runner app just gave me a heart attack. It said the next shuttle would get here in 2 min then it said not until 5:55 now it is 5:30",0
"1359","And my mother's only concern is ""Larki hum mazhab (which covers pretty much the shia syed tag) ho warna mujhe heart attack aa jayega"" well.",0
"1360","I got some scary fake email from amazon saying I paid £37 for some stupid digital pen bruh I almost had a heart attack",0
"1361","TOUT DE SUITE : Enrique Iglesias - Heart Attack SUR insidedancefloorlawebradio.tk bonne écoute",0
"1362","@BRIA_____ you aggy 😂😂 that boy bout have a heart attack.. I told him you was gonna do it 😂😂",0
"1363","I am certain that I am not having a heart attack(Toni Hull)",1
"1364","Heart attack victims with long-term health conditions 'not being given correct treatments'",1
"1365","You know what they say about a woman who can not drive stick shift. Probably let her man die if he has a heart attack.",0
"1366","@shawnsweasley thanks for the heart attack!",0
"1367","i just came home and i saw this and i almost had a heart attack but its just the trailer",0
"1368","Keely gives me a heart attack at least twice a day",0
"1370","AHL player recovering from on-ice heart attack #canada",2
"1371","A bee somehow got into our apt and Oscar is jumping around like a maniac when he randomly spots it.. I am about to have a heart attack 😂",0
"1372","Your body warns you 1 month before a heart attack – here’s the hidden secret everyone should know",1
"1373","A Christmas miracle: Wife saves husband after heart attack",2
"1374","@VisaThach as long as it does not give you a heart attack",0
"1375","@chenzomauro I think I am gonna have a heart attack 😱😋❤💕",0
"1376","stay low in hostility and high in trust and you will live longer and be happier and have less of a chance of heart attack",1
"1380","Want to live longer after a heart attack? Be an optimist",1
"1381","@BixSqrl A complex? A cane? A heart attack of carbs?",0
"1384","you must purchase more jpunch albums to save jpunch from early heart attack death",0
"1386","Having Chinese food in an hour for dinner. Have no idea why the fuck I just bought $15 worth of #tacobell #iamdisgusting #heartattack",0
"1388","Do you know a younger woman who has had a heart attack?",1
"1389","Old white bag. I would of threw something at her old ass and prayed she had a heart attack.",0
"1390","Air temperature is external trigger for heart attack",1
"1391","*Watched video of super loaded baked potato* Worker: that is heart attack on a plate. Me: Ya, but I am here for a good time, not a long time",0
"1392","What causes healthy young mothers to have a heart attack? via @nbcnews",1
"1393","Heart attack victims with long-term health conditions 'not being given correct treatments'",1
"1394","I just hope Disney World stays in one piece🙏🏼 and that my dog does not have a heart attack and die home alone with my dad laughing out loud",0
"1395","Wow, so young... a heart attack - protect your heart, in every way #RIPMarBrown",2
"1396","I almost just had a heart attack bc i thought I forgot my best friends birthday luckily it is tomorrow",0
"1397","@ShawnMendesNot YOU GAVE ME A HEART ATTACK",0
"1398","told my mum i think I am having a heart attack and she said ""play more football"" 😐😐😐 bruh?? #asianparents",3
"1399","My ex just facetimed me and i almost had a heart attack because i forgot how much i hate that thot.",0
"1401","The Amazing Heart Attack - Wampire",0
"1402","I think I would have a heart attack, She is beautiful more than everything. it is beauty is not explained in words. I do not know what to say. 💗",0
"1405","Another uncle of mine had a heart attack and passed away. Will be cremated Saturday😔 I think I have gone numb again. RIP Uncle Mike heart",2
"1406","Scientists say eating red meat does not increase your risk of heart attack",1
"1407","@ctiano23 nothing like a mini heart attack to start the day",0
"1408","@severianlyctor kenji, on 4/20/69: [laughs so hard he has a heart attack]",0
"1411","I went to church like 4/5 times this whole year my grandparents are going to have a heart attack if i dont make it new years",0
"1412","#53613 Scientists have discovered that the longer the foot is in boys the less chance they have of having a heart attack",1
"1413","my mom has a huge irrational fear of frogs laughing my ass off like i think she will have a heart attack if i text her a pic",0
"1414","A Month Before a Heart Attack, Your Body Will Warn You With These 8 Signals",1
"1415","Scientists proof it dt if a man ejaculate atleast 21x in a month he wil not ve heart attack or cancer and leave long.My fellow woman pls help",1
"1416","i had a wasp in my room before , i almost had a heart attack bc I am dead afraid of them so how are you calm about this bee 😭",0
"1417","So on my driving lesson today I pulled out onto a roundabout in front of a lorry and had a small heart attack, luckily did not die tho 😶",0
"1420","@BiggBoss bhai...swamy om ko nikaldo...he will suffer heart attack..he cant compete with young adrenaline...he is old man..later dont regret",0
"1421","yo my flash flood warning siren just went off when i was watching this . bout had a heart attack 😅😅",0
"1422","So wrong, smh why you trying give this old man a heart attack. laughing out loud",0
"1423","HIV May Double Odds of Heart Attack #frau_donna",1
"1424","Roshi almost gave me a heart attack, thanks Goku for savin his old ass! Lets just focus on Packer season... Ok and anime to! #gopackgo #art",0
"1425","A Month Before a Heart Attack, Your Body Will Warn You With These 8 Signals via @bright_side_me",1
"1426","Christmas lunch with a Scottish Santa who sounds like he is gonna have a heart attack. What a weird day.",0
"1427","i just got stabbed and almost had a heart attack dks",0
"1429","I shook just watching this had a mini heart attack 😭",0
"1430","Just told mom that the left side of my chest hurts and i think its a heart attack and she said ""tsamo robala""",3
"1431","it is PLAYING, it is PLAYING!!!!! AND IM HAVING A FUCKING HEART ATTACK!!!!! #BTSOnKJ103",0
"1434","Damn near gave myself a heart attack just now",0
"1435","Sugary Drinks Increase Heart Attack, Stroke Risk - Sharecare. Click for more information.",1
"1438","well I am about to have a heart attack",3
"1439","ICH HAB EINEN OHRWURM VON AOA'S HEART ATTACK UND ICH HASSE DIESES LIED man",0
"1442","with every hair flip there is a heart attack #JIMIN",0
"1443","In This Interview I Talk About My Heart Attack Scare, Parasites, Mucoid Matter, Medicinal Tea and More on WRCH FM",1
"1445","Craig Cunningham is recovering after a collapse on ice Nov. 19 that turned out to be heart attack",2
"1446","@snaper65 @Marshall89HD hope u do not get heart attack",2
"1447","HIV May Double Odds of Heart Attack #health #living",1
"1448","I swear my professor is trying to give me a heart attack",0
"1449","@assahton5sos I hate those fake accounts like yours. They give me an heartattack Every.Single.Time😂💞",0
"1450","RT if you thought I was Shawn Mendes and gave you a heart attack #MercyAcousticVideo",0
"1451","Marriage is good medicine for someone who has a heart attack.",1
"1455","Yo she was about to have a massive heart attack 😂😂😂",0
"1456","i know I am getting old bc when kids swear i have a heart attack like no your not supposed to know those words",0
"1457","#HealthyLife_Pro HIV May Double Odds of Heart Attack: HIV May Double Odds of Heart Attack",1
"1458","I swear Floriana really wants my gay ass to have a heart attack with those arms. I guess it is as good a way to die as any other.",0
"1459","@ArianaGrande i wanna see you on my interactions... although i might have a heart attack",0
"1460","Roanoke man suffers heart attack, dies while driving tractor-trailer on U.S. 431",2
"1462","High Pain Tolerance Tied to 'Silent' Heart Attack Risk WEDNESDAY, Dec. 21, 2016 (HealthDay News) -- Peo",1
"1463","So glad my mum is ok after her heart attack Friday 😭",2
"1464","When u read half of something and almost have a heart attack but then read the rest and it is not what you think😅",0
"1466","Almost had a heart attack today because I lost the pendant to my chain that my bf gave me for Christmas at my job! Found it after 20mins tho",0
"1467","I SCREAMED AND GASPED SO LOUD I HAD A HEART ATTACK",3
"1468","December 21st: On this Day 1992, American blues singer and guitarist, Albert King died from a heart attack in...",2
"1469","When you consume just coffee and have chest pain and think ""am I going to have a heart attack?"" But still continue having coffee",3
"1470","Usa-san is a quiet bunny, she is a well-mannered bunny lady. do not scare her, she will get a heart attack ówò",0
"1471","Almost had a heart attack a minute ago 😂",0
"1472","Anatomy lectures at a million miles an hour will give me a heart attack nbd tho",0
"1473","I think I have a heart attack. #MercyAcousticVideo",0
"1474","""SCAD is a type of heart attack, but completely different than the one we normally think of"" - @SharonneHayes",1
"1475","Anti-inflammatory cuts risk of #heartattack, includes quotes from D-H's @DrMarkCreager - via @sciencemagazine",1
"1476","@ShawnMendes @Vevo it is SO PERFECT, YOU DEFINITELY do not HAVE MERCY ON MY HEART, I will HAVE A HEART ATTACK SOON #MercyAcousticVideo",0
"1478","@CBS3Newsdesk @UkeeWashington Why promo unhealthy Krispy Kreme/donuts in news (not ads), then segment on heart attack? Getting paid much?",1
"1479","Oh.my.god I am about to snorkel with turtles... I am about to have a heart attack",0
"1480","I am terrified of having a heart attack??? Yet I am only 21 and chest pain allday could be ALMOST ANYTHJNG",3
"1481","@TheShaneHarper probably there is no chance you will see this tweet, but I would have a heart attack if you surprised me with a foIIow...",1
"1482","@AlecMacGillis @chrislhayes sounds brilliant have heart attack take 2 aspirin",2
"1483","I genuinely had a heart attack about 30 mins ago I kid you not",0
"1484","i don't know how y'all stay with people who raise y'all blood pressure every day... laughing out loud I am not having no heart attack over somebody stupid son 😂",0
"1485","Less #education increases heart attack risk, new health research finds",1
"1486","@donnascalise @JoeDoggers @AlloccaMirella She will wear leopard lingerie with a feather boa and Joe will have heart attack/allergic reaction. 😂",0
"1487","@Ms_HeartAttack it like 2:41 were I am and I been i sense 9:30",0
"1488","Oh God, if you are gonna tell me he is gay I am gonna have a freakin' heart attack.",0
"1489","#AngryScottishGrandma had a heart attack, and things are not looking the best for her. 😔 If y'all thought she was angry before..😳",2
"1491","#JhopeHappinessVitamin @BTS_twt His smile 😍😍😍 ah my heartu he gives a heart attack. Love you jhope 😍😍😍 #arabarmylovebts",0
"1493","i would deadass have a heart attack",0
"1495","Yes! it just about gave me a heart attack! I had the volume all the way up from earlier in the day..and it was about 1 in the morning!",0
"1496","Thought I would feel less stressed after handing in my project but I think I am about to have a heart attack",0
"1497","Another way to Prevent Heart Attack ""stop watching series firm that gives u strange""",0
"1498","The Product that Most People Use Every Morning Can Cause Heart Attack, Cancer and Obesity",1
"1499","HIV patients have nearly twice the heart attack risk #Health #HealthDaily",1
"1502","Bitch, I had a heart attack. Bad at Love music vid today!!!😍😧",0
"1504","I am having a heart attack right now where is this fucking bus",0
"1505","Kea and Schumacher 🙆🙈🙊😂😂😂😂😂😂😂😂 Kgosi will have a heart attack 🙆🙆🙆🙆🙆🙆🙆 #TheQueenMzansi",0
"1507","Andre and i’s first cell phone bill posted and i about had a heart attack 😅",0
"1509","can not reach my mom and I might have a mini heart attack",0
"1510","#Lasers Detect Risk of Heart Attack and Stroke | @novuslighttech #imaging #spectroscopy",1
"1512","HIV May Double Odds of Heart Attack",1
"1513","Bet capello gets a heart attack next game laughing my ass off😂😂 — This guy",0
"1515","Do you remember when we first met? The way you looked I can not forget. I smiled at you, and you smiled back. It felt like a heart attack.",0
"1518","999: Is it okay now? Me: Yeah it is a forfeit but I am about to have a heart attack so an ambulance would be helpful:)))",0
"1519","I am gonna have a heart attack if I do not find housing before the first of January!!",0
"1520","I thought they were moving back to Germany...lord...I almost had a heart attack.",0
"1521","HIV May Double Odds of Heart Attack - WebMD #HIV #News",1
"1522","I thought my boss retweeted me. This girl look just like her. Almost had a heart attack",0
"1523","almost had a heart attack after figuring out my fuel mileage. Then I remembered I fueled before I loaded and come back towards ware I fueled",0
"1526","In a first, anti-inflammatory drug lowers heart attack risks - CBS News #Health #News #Today",1
"1527","I JUST WOKE UP FROM THE LONGEST NAP EVER AND LITERALLY HAD A HEART ATTACK",0
"1528","Are you on a #cholesterol medication? Unless you have had a heart attack or stroke, you should NOT be on a #statin",1
"1529","Half of People Who Have Heart Attacks do not Even Know It #heartattack @NBCNews",1
"1530","No heart attack, Herr @dday_au. I had bad case of narcolepsy and fell asleep at lectern. Big nose bleed. Willie James' froze me in basement.",3
"1531","Andrew Barnett's latest: HIV patients have nearly twice the heart attack risk #exercise",1
"1532","This was me until he always answers the phone now even if he gotta say he is busy. I am not having a heart attack no more 😂",0
"1533","BITCH MY UNCLE WAS USING MY COMPUTER AND I THOUGHT HE CLOSED ALL THE TABS THAT HAD COLLEGE INFO AND APPLICATIONS I ALMOST HAD A HEART ATTACK",0
"1534","High pain tolerance may mask heart attack symptoms - Study Highlights: People who have a high pain tolerance ma...",1
"1535","I almost had a heart attack",0
"1537","Mi è piaciuto un video di @YouTube: Inmates Break Out Of Cell To Help Officer Suffering Heart Attack",2
"1540","I do not wanna give you a heart attack 😢""@TheeKamza: let us see yours first",0
